Sudoku ID,Algorithm,Level,Status,Time Taken (ms),Memory Used (KB)
35,Backtracking,HARD,Solved,2987,2
35,Forward Checking,HARD,Solved,4708,1588
35,Backtracking with MRV,HARD,Solved,1682,84
36,Dancing Links,HARD,Solved,879,331
36,Backtracking,HARD,Solved,690,2
36,Forward Checking,HARD,Solved,759,1067
36,Backtracking with MRV,HARD,Solved,689,84
37,Dancing Links,HARD,Solved,746,331
37,Backtracking,HARD,Solved,888,2
37,Forward Checking,HARD,Solved,927,740
37,Backtracking with MRV,HARD,Solved,379,84
38,Dancing Links,HARD,Solved,788,331
38,Backtracking,HARD,Solved,390,2
38,Forward Checking,HARD,Solved,634,986
38,Backtracking with MRV,HARD,Solved,397,84
39,Dancing Links,HARD,Solved,713,331
39,Backtracking,HARD,Solved,389,2
39,Forward Checking,HARD,Solved,641,986
39,Backtracking with MRV,HARD,Solved,411,84
40,Dancing Links,HARD,Solved,844,331
40,Backtracking,HARD,Solved,369,2
40,Forward Checking,HARD,Solved,585,740
40,Backtracking with MRV,HARD,Solved,441,84
41,Dancing Links,HARD,Solved,797,331
41,Backtracking,HARD,Solved,1341,2
41,Forward Checking,HARD,Solved,928,1969
41,Backtracking with MRV,HARD,Solved,507,84
42,Dancing Links,HARD,Solved,777,331
42,Backtracking,HARD,Solved,307,2
42,Forward Checking,HARD,Solved,551,740
42,Backtracking with MRV,HARD,Solved,344,84
43,Dancing Links,HARD,Solved,780,331
43,Backtracking,HARD,Solved,256,2
43,Forward Checking,HARD,Solved,1083,740
43,Backtracking with MRV,HARD,Solved,318,84
44,Dancing Links,HARD,Solved,817,331
44,Backtracking,HARD,Solved,406,2
44,Forward Checking,HARD,Solved,876,1724
44,Backtracking with MRV,HARD,Solved,619,84
45,Dancing Links,HARD,Solved,741,331
45,Backtracking,HARD,Solved,248,2
45,Forward Checking,HARD,Solved,558,740
45,Backtracking with MRV,HARD,Solved,281,84
46,Dancing Links,EVIL,Solved,810,331
46,Backtracking,EVIL,Solved,1393,2
46,Forward Checking,EVIL,Solved,1599,2133
46,Backtracking with MRV,EVIL,Solved,696,84
47,Dancing Links,EVIL,Solved,827,331
47,Backtracking,EVIL,Solved,780,2
47,Forward Checking,EVIL,Solved,722,1068
47,Backtracking with MRV,EVIL,Solved,427,84
48,Dancing Links,EVIL,Solved,825,331
48,Backtracking,EVIL,Solved,1030,2
48,Forward Checking,EVIL,Solved,790,1149
48,Backtracking with MRV,EVIL,Solved,365,84
49,Dancing Links,EVIL,Solved,785,331
49,Backtracking,EVIL,Solved,252,2
49,Forward Checking,EVIL,Solved,931,2133
49,Backtracking with MRV,EVIL,Solved,631,84
50,Dancing Links,EVIL,Solved,694,331
50,Backtracking,EVIL,Solved,7443,2
50,Forward Checking,EVIL,Solved,2518,581
50,Backtracking with MRV,EVIL,Solved,835,292
51,Dancing Links,EVIL,Solved,725,331
51,Backtracking,EVIL,Solved,337,2
51,Forward Checking,EVIL,Solved,1474,3935
51,Backtracking with MRV,EVIL,Solved,813,166
52,Dancing Links,EVIL,Solved,829,330
52,Backtracking,EVIL,Solved,2951,2
52,Forward Checking,EVIL,Solved,4014,763
52,Backtracking with MRV,EVIL,Solved,2048,84
53,Dancing Links,EVIL,Solved,768,331
53,Backtracking,EVIL,Solved,2045,2
53,Forward Checking,EVIL,Solved,830,1723
53,Backtracking with MRV,EVIL,Solved,560,84
54,Dancing Links,EVIL,Solved,725,331
54,Backtracking,EVIL,Solved,512,2
54,Forward Checking,EVIL,Solved,644,1149
54,Backtracking with MRV,EVIL,Solved,330,84
55,Dancing Links,EVIL,Solved,1144,331
55,Backtracking,EVIL,Solved,4027,2
55,Forward Checking,EVIL,Solved,952,2133
55,Backtracking with MRV,EVIL,Solved,649,84
56,Dancing Links,EVIL,Solved,1097,331
56,Backtracking,EVIL,Solved,2872,2
56,Forward Checking,EVIL,Solved,2759,2256
56,Backtracking with MRV,EVIL,Solved,1280,84
57,Dancing Links,EVIL,Solved,669,331
57,Backtracking,EVIL,Solved,964,2
57,Forward Checking,EVIL,Solved,956,1642
57,Backtracking with MRV,EVIL,Solved,455,84
58,Dancing Links,EVIL,Solved,700,331
58,Backtracking,EVIL,Solved,17340,2
58,Forward Checking,EVIL,Solved,5632,3354
58,Backtracking with MRV,EVIL,Solved,1963,291
59,Dancing Links,EVIL,Solved,651,331
59,Backtracking,EVIL,Solved,6574,2
59,Forward Checking,EVIL,Solved,5707,1674
59,Backtracking with MRV,EVIL,Solved,3333,84
60,Dancing Links,EVIL,Solved,694,330
60,Backtracking,EVIL,Solved,2962,2
60,Forward Checking,EVIL,Solved,2178,5899
60,Backtracking with MRV,EVIL,Solved,1382,166
