| ID    | Algorithm             | Level      | Status     | Time Taken (ms)      | Memory Used (KB)     | Time                 |
| 16    | Forward Checking      | MEDIUM     | Solved     | 800                  | 985                  | 2025-05-06 03:12:49  |
| 16    | Backtracking with MRV | MEDIUM     | Solved     | 347                  | 84                   | 2025-05-06 03:12:49  |
| 17    | Dancing Links         | MEDIUM     | Solved     | 683                  | 331                  | 2025-05-06 03:12:49  |
| 17    | Backtracking          | MEDIUM     | Solved     | 198                  | 2                    | 2025-05-06 03:12:49  |
| 17    | Forward Checking      | MEDIUM     | Solved     | 826                  | 576                  | 2025-05-06 03:12:49  |
| 17    | Backtracking with MRV | MEDIUM     | Solved     | 253                  | 84                   | 2025-05-06 03:12:49  |
| 18    | Dancing Links         | MEDIUM     | Solved     | 740                  | 331                  | 2025-05-06 03:12:49  |
| 18    | Backtracking          | MEDIUM     | Solved     | 177                  | 2                    | 2025-05-06 03:12:49  |
| 18    | Forward Checking      | MEDIUM     | Solved     | 562                  | 658                  | 2025-05-06 03:12:49  |
| 18    | Backtracking with MRV | MEDIUM     | Solved     | 254                  | 84                   | 2025-05-06 03:12:49  |
| 19    | Dancing Links         | MEDIUM     | Solved     | 803                  | 331                  | 2025-05-06 03:12:49  |
| 19    | Backtracking          | MEDIUM     | Solved     | 316                  | 2                    | 2025-05-06 03:12:49  |
| 19    | Forward Checking      | MEDIUM     | Solved     | 778                  | 986                  | 2025-05-06 03:12:49  |
| 19    | Backtracking with MRV | MEDIUM     | Solved     | 378                  | 84                   | 2025-05-06 03:12:49  |
| 20    | Dancing Links         | MEDIUM     | Solved     | 850                  | 331                  | 2025-05-06 03:12:49  |
| 20    | Backtracking          | MEDIUM     | Solved     | 274                  | 2                    | 2025-05-06 03:12:49  |
| 20    | Forward Checking      | MEDIUM     | Solved     | 547                  | 658                  | 2025-05-06 03:12:49  |
| 20    | Backtracking with MRV | MEDIUM     | Solved     | 312                  | 84                   | 2025-05-06 03:12:49  |
| 21    | Dancing Links         | MEDIUM     | Solved     | 840                  | 331                  | 2025-05-06 03:12:49  |
| 21    | Backtracking          | MEDIUM     | Solved     | 272                  | 2                    | 2025-05-06 03:12:49  |
| 21    | Forward Checking      | MEDIUM     | Solved     | 570                  | 658                  | 2025-05-06 03:12:49  |
| 21    | Backtracking with MRV | MEDIUM     | Solved     | 255                  | 84                   | 2025-05-06 03:12:49  |
| 22    | Dancing Links         | MEDIUM     | Solved     | 830                  | 331                  | 2025-05-06 03:12:49  |
| 22    | Backtracking          | MEDIUM     | Solved     | 320                  | 2                    | 2025-05-06 03:12:49  |
| 22    | Forward Checking      | MEDIUM     | Solved     | 1014                 | 1397                 | 2025-05-06 03:12:49  |
| 22    | Backtracking with MRV | MEDIUM     | Solved     | 482                  | 84                   | 2025-05-06 03:12:49  |
| 23    | Dancing Links         | MEDIUM     | Solved     | 722                  | 331                  | 2025-05-06 03:12:49  |
| 23    | Backtracking          | MEDIUM     | Solved     | 379                  | 2                    | 2025-05-06 03:12:49  |
