Algorithm,Level,Status,Time Taken (ms),Memory Used (bytes)
Forward Checking,EXTREME,Solved,7791,1826784
Forward Checking,EXTREME,Solved,11804,14326384
Forward Checking,EXTREME,Solved,1527,2390976
Forward Checking,EXTREME,Solved,1128,1954816
Backtracking with MRV,EASY,Solved,197,69696
Backtracking with MRV,EASY,Solved,208,69696
Backtracking with MRV,EASY,Solved,198,69696
Backtracking with MRV,EASY,Solved,191,69696
Backtracking with MRV,EASY,Solved,199,69696
Backtracking with MRV,EASY,Solved,198,69696
Backtracking with MRV,EASY,Solved,184,69696
Backtracking with MRV,EASY,Solved,380,69696
Backtracking with MRV,EASY,Solved,187,69696
Backtracking with MRV,EASY,Solved,229,69696
Backtracking with MRV,EASY,Unsolved,110,69696
Backtracking with MRV,EASY,Solved,219,69696
Backtracking with MRV,EASY,Solved,132,69696
Backtracking with MRV,EASY,Solved,125,69696
Backtracking with MRV,EASY,Solved,124,69696
Backtracking with MRV,MEDIUM,Solved,220,69696
Backtracking with MRV,MEDIUM,Solved,134,69696
Backtracking with MRV,MEDIUM,Solved,198,69696
Backtracking with MRV,MEDIUM,Solved,149,69696
Backtracking with MRV,MEDIUM,Solved,147,69696
Backtracking with MRV,MEDIUM,Solved,120,69696
Backtracking with MRV,MEDIUM,Solved,124,69696
Backtracking with MRV,MEDIUM,Solved,129,69696
Backtracking with MRV,MEDIUM,Solved,232,69696
Backtracking with MRV,MEDIUM,Solved,124,69696
Backtracking with MRV,MEDIUM,Solved,140,69696
Backtracking with MRV,MEDIUM,Solved,245,69696
Backtracking with MRV,MEDIUM,Solved,146,69696
Backtracking with MRV,MEDIUM,Solved,247,69696
Backtracking with MRV,MEDIUM,Solved,142,69696
Backtracking with MRV,HARD,Solved,181,69696
Backtracking with MRV,HARD,Solved,176,69696
Backtracking with MRV,HARD,Solved,289,69696
Backtracking with MRV,HARD,Solved,226,69696
Backtracking with MRV,HARD,Solved,283,69696
Backtracking with MRV,HARD,Solved,273,69696
Backtracking with MRV,HARD,Solved,302,69696
Backtracking with MRV,HARD,Solved,202,69696
Backtracking with MRV,HARD,Solved,182,69696
Backtracking with MRV,HARD,Solved,184,69696
